"id","name","city_id"
"1300409001",Centro,"1300409"
"1300508001",Centro,"1300508"
"1300508003",São Benedito,"1300508"
"1300607006",Umarizal,"1300607"
"1300607008",Cidade Nova,"1300607"
"1300680007",São Sebastião,"1300680"
"1300680009",Da Liberdade,"1300680"
"1300805002",São Sebastião,"1300805"
"1300805003",Ipiranga,"1300805"
"1300839007",Novo Horizonte,"1300839"
"1300839008",São Sebastião,"1300839"
"1301001005","14 Bis","1301001"
"1301001006",Da Memória,"1301001"
"1301100001",Urbano Centro,"1301100"
"1301100002",Urbano Vista Alegre,"1301100"
"1301159006",Manoel Carlos dos Santos,"1301159"
"1301209001",Do Pera,"1301209"
"1301209010",Tauá Mirim,"1301209"
"1301209011",Centro,"1301209"
"1301506003",Santa Rita,"1301506"
"1301506004",São Francisco,"1301506"
"1301654006",Davis,"1301654"
"1301654007",Cean,"1301654"
"1301704009",Centro,"1301704"
"1301704010",São Cristóvão,"1301704"
"1301803006",Peru,"1301803"
"1301803007",Da Várzea,"1301803"
"1301902005",Pedreiras,"1301902"
"1301902006",Iraci,"1301902"
"1301902016",da Paz,"1301902"
"1301902017",Eduardo Braga I,"1301902"
"1301902026",Poranga,"1301902"
"1301902027",Jacarezinho,"1301902"
"1302207005",Chico Lázaro,"1302207"
"1302207006",Área de Expansão Urbana,"1302207"
"1302405001",Bairro da Fonte,"1302405"
"1302405002",Centro,"1302405"
"1302504002",Aparecida,"1302504"
"1302504003",Biribiri,"1302504"
"1302553001",Novo,"1302553"
"1302553002",Conjunto Novo,"1302553"
"1302603003",Presidente Vargas,"1302603"
"1302603004",Praça 14 de Janeiro,"1302603"
"1302603013",Nova Esperança,"1302603"
"1302603014",Lírio do Vale,"1302603"
"1302603024",Educandos,"1302603"
"1302603023",Coroado,"1302603"
"1302603033",Mauazinho,"1302603"
"1302603035",Puraquequara,"1302603"
"1302603043",Chapada,"1302603"
"1302603045",Novo Israel,"1302603"
"1302603053",Zumbi dos Palmares,"1302603"
"1302603054",São José Operário,"1302603"
"1302603063",Lago Azul,"1302603"
"1302702001",Santa Luzia,"1302702"
"1302702010",Centro,"1302702"
"1302702011",Ipasea,"1302702"
"1302900004",Maresia,"1302900"
"1100106011",Fátima - Guajar,"1100106"
"1100106017",Nossa Senhora Aparecida - Guajar,"1100106"
"1100122004",Urupá - J,"1100122"
